 Mensaje recibido: U2|keee
 Mensaje ignorado (proviene de U2).
 Mensaje recibido: U2|sooo
 Mensaje ignorado (proviene de U2).
 Mensaje enviado a CANSAT: U1|ddtu => Fri Mar 28 07:55:01 2025
 Mensaje enviado a CANSAT: U1|ddtu => Fri Mar 28 07:55:01 2025
 Mensaje enviado a CANSAT: U1|asalaaam => Fri Mar 28 08:00:41 2025
 Mensaje enviado a CANSAT: U1|klk => Fri Mar 28 08:00:48 2025
 Mensaje enviado a CANSAT: U1|aaaa => Fri Mar 28 08:00:52 2025
 Mensaje enviado a CANSAT: U1|sigo con mis panas => Fri Mar 28 08:01:14 2025
 Mensaje recibido: U2|asaass
 Mensaje ignorado (proviene de U2).
 Mensaje recibido: U2|oee
 Mensaje ignorado (proviene de U2).
 Mensaje recibido: U2|xdsdsd
 Mensaje ignorado (proviene de U2).
 Mensaje enviado a CANSAT: U1|Request__to__exit__server for Client [EXIT] => Fri Mar 28 08:01:49 2025
 Mensaje enviado a CANSAT: U1|Request__to__exit__server for Client [EXIT] => Fri Mar 28 08:01:49 2025
 Mensaje enviado a CANSAT: U1|dffsa => Fri Mar 28 08:04:17 2025
 Mensaje enviado a CANSAT: U1|holaaa => Fri Mar 28 08:05:31 2025
 Mensaje recibido: U2|keu keu
 Mensaje ignorado (proviene de U2).
 Mensaje recibido: U2|am am
 Mensaje ignorado (proviene de U2).
 Mensaje enviado a CANSAT: U1|sisissi => Fri Mar 28 08:06:31 2025
 Mensaje enviado a CANSAT: U1|sisissi => Fri Mar 28 08:06:31 2025
